TaskID,TaskName,Category,Duration,RequiredSkills,PreferredPhases,MaxConcurrent
T1,Task 1,DataOps,1,"Docker,AWS",1-3,3
T2,Task 2,DataOps,3,"Python,SQL",1-3,1
T3,Task 3,Frontend,3,"AWS,Pandas,Docker","[2,4,5]",3
T4,Task 4,Analytics,3,"SQL,Pandas",1-3,3
T5,Task 5,Frontend,2,"SQL,AWS",3-5,5
T6,Task 6,Frontend,3,"SQL,Bash,Python",2-4,3
T7,Task 7,Infra,4,"AWS,JavaScript",2-4,4
T8,Task 8,Backend,3,"JavaScript,Python",1-3,3
T9,Task 9,Analytics,4,"JavaScript,SQL,Python","[2,4,5]",3
T10,Task 10,Frontend,4,"Bash,Python","[1,3,5]",2
T11,Task 11,Infra,1,"Python,CSS,AWS",1-3,3
T12,Task 12,Analytics,1,"Bash,AWS",1-3,4
T13,Task 13,DataOps,2,"Docker,AWS,REST",1-3,2
T14,Task 14,Analytics,2,"HTML,SQL","[2,4,5]",5
T15,Task 15,Frontend,2,"AWS,REST,Docker","[2,4,5]",3
T16,Task 16,Backend,1,"Docker,Bash",1-3,4
T17,Task 17,Infra,1,"CSS,Pandas","[1,3,5]",5
T18,Task 18,Analytics,2,"REST,JavaScript",2-4,1
T19,Task 19,Frontend,4,"HTML,Python,Bash",2-4,5
T20,Task 20,Infra,2,"Docker,AWS,JavaScript","[2,4,5]",3
T21,Task 21,Frontend,4,"CSS,Docker","[2,4,5]",4
T22,Task 22,Frontend,3,"CSS,Pandas,REST",2-4,4
T23,Task 23,Analytics,3,"Pandas,AWS",2-4,3
T24,Task 24,Infra,4,"Docker,Pandas,Python","[2,4,5]",3
T25,Task 25,Backend,2,"Pandas,Bash,CSS",3-5,3
T26,Task 26,Infra,2,"Docker,HTML,Pandas","[1,3,5]",3
T27,Task 27,Infra,4,"CSS,HTML",1-3,4
T28,Task 28,Backend,3,"Docker,Python",1-3,3
T29,Task 29,Analytics,1,"AWS,CSS,Python",2-4,3
T30,Task 30,DataOps,2,"REST,Docker,Python","[2,4,5]",4
T31,Task 31,Backend,3,"Docker,REST",3-5,1
T32,Task 32,Frontend,2,"Pandas,JavaScript","[1,3,5]",2
T33,Task 33,Infra,3,"Docker,JavaScript,SQL",1-3,2
T34,Task 34,Analytics,3,"Docker,REST",3-5,1
T35,Task 35,Analytics,2,"HTML,Docker",1-3,3
T36,Task 36,Backend,4,"Docker,Python,CSS",3-5,3
T37,Task 37,Backend,4,"REST,Pandas,AWS",1-3,4
T38,Task 38,Analytics,3,"JavaScript,Docker,AWS",1-3,3
T39,Task 39,Frontend,2,"Docker,REST,Python",2-4,1
T40,Task 40,Infra,1,"AWS,CSS",1-3,5
T41,Task 41,DataOps,2,"Pandas,JavaScript,REST",3-5,4
T42,Task 42,Analytics,1,"REST,CSS,JavaScript",1-3,3
T43,Task 43,DataOps,4,"CSS,Bash","[1,3,5]",4
T44,Task 44,DataOps,3,"Python,REST,AWS","[2,4,5]",1
T45,Task 45,Infra,1,"Bash,SQL,REST","[2,4,5]",3
T46,Task 46,Backend,1,"JavaScript,AWS",3-5,5
T47,Task 47,Analytics,3,"JavaScript,Docker,SQL",3-5,4
T48,Task 48,Analytics,1,"Python,Bash","[2,4,5]",4
T49,Task 49,DataOps,1,"Pandas,SQL,REST","[1,3,5]",4
T50,Task 50,Infra,3,"Pandas,Bash,SQL",2-4,2
